identifier,file,q1,q2,q3,q4,q5,total,possible
65,file65.py,1.0,0.0,1.0,1.0,1.0,4.0,5
87,file87.py,1.0,0.0,1.0,1.0,1.0,4.0,5
37,file37.py,1.0,0.0,1.0,1.0,1.0,4.0,5
72,file72.py,1.0,0.0,1.0,1.0,1.0,4.0,5
83,file83.py,1.0,0.0,1.0,1.0,1.0,4.0,5
6,file6.py,1.0,0.0,1.0,1.0,1.0,4.0,5
8,file8.py,1.0,0.0,1.0,1.0,1.0,4.0,5
99,file99.py,1.0,0.0,1.0,1.0,1.0,4.0,5
51,file51.py,1.0,0.0,1.0,1.0,1.0,4.0,5
63,file63.py,1.0,0.0,1.0,1.0,1.0,4.0,5
89,file89.py,1.0,0.0,1.0,1.0,1.0,4.0,5
53,file53.py,1.0,0.0,1.0,1.0,1.0,4.0,5
60,file60.py,1.0,0.0,1.0,1.0,1.0,4.0,5
3,file3.py,1.0,0.0,1.0,1.0,1.0,4.0,5
46,file46.py,1.0,0.0,1.0,1.0,1.0,4.0,5
49,file49.py,1.0,0.0,1.0,1.0,1.0,4.0,5
16,file16.py,1.0,0.0,1.0,1.0,1.0,4.0,5
94,file94.py,1.0,0.0,1.0,1.0,1.0,4.0,5
21,file21.py,1.0,0.0,1.0,1.0,1.0,4.0,5
17,file17.py,1.0,0.0,1.0,1.0,1.0,4.0,5
57,file57.py,1.0,0.0,1.0,1.0,1.0,4.0,5
48,file48.py,1.0,0.0,1.0,1.0,1.0,4.0,5
66,file66.py,1.0,0.0,1.0,1.0,1.0,4.0,5
74,file74.py,1.0,0.0,1.0,1.0,1.0,4.0,5
10,file10.py,1.0,0.0,1.0,1.0,1.0,4.0,5
13,file13.py,1.0,0.0,1.0,1.0,1.0,4.0,5
40,file40.py,1.0,0.0,1.0,1.0,1.0,4.0,5
97,file97.py,1.0,0.0,1.0,1.0,1.0,4.0,5
47,file47.py,1.0,0.0,1.0,1.0,1.0,4.0,5
35,file35.py,1.0,0.0,1.0,1.0,1.0,4.0,5
27,file27.py,1.0,0.0,1.0,1.0,1.0,4.0,5
44,file44.py,1.0,0.0,1.0,1.0,1.0,4.0,5
38,file38.py,1.0,0.0,1.0,1.0,1.0,4.0,5
2,file2.py,1.0,0.0,1.0,1.0,1.0,4.0,5
95,file95.py,1.0,0.0,1.0,1.0,1.0,4.0,5
30,file30.py,1.0,0.0,1.0,1.0,1.0,4.0,5
59,file59.py,1.0,0.0,1.0,1.0,1.0,4.0,5
96,file96.py,1.0,0.0,1.0,1.0,1.0,4.0,5
23,file23.py,1.0,0.0,1.0,1.0,1.0,4.0,5
82,file82.py,1.0,0.0,1.0,1.0,1.0,4.0,5
19,file19.py,1.0,0.0,1.0,1.0,1.0,4.0,5
86,file86.py,1.0,0.0,1.0,1.0,1.0,4.0,5
52,file52.py,1.0,0.0,1.0,1.0,1.0,4.0,5
39,file39.py,1.0,0.0,1.0,1.0,1.0,4.0,5
26,file26.py,1.0,0.0,1.0,1.0,1.0,4.0,5
14,file14.py,1.0,0.0,1.0,1.0,1.0,4.0,5
77,file77.py,1.0,0.0,1.0,1.0,1.0,4.0,5
43,file43.py,1.0,0.0,1.0,1.0,1.0,4.0,5
36,file36.py,1.0,0.0,1.0,1.0,1.0,4.0,5
88,file88.py,1.0,0.0,1.0,1.0,1.0,4.0,5
80,file80.py,1.0,0.0,1.0,1.0,1.0,4.0,5
64,file64.py,1.0,0.0,1.0,1.0,1.0,4.0,5
61,file61.py,1.0,0.0,1.0,1.0,1.0,4.0,5
92,file92.py,1.0,0.0,1.0,1.0,1.0,4.0,5
91,file91.py,1.0,0.0,1.0,1.0,1.0,4.0,5
